Shift shiftarea shiftellipticity  ARL  Std  Q1  Med  Q3  Max
 1.600 0.030 0.650    11.0284     0.1193     5.0000     9.0000    14.0000    71.0000     0.0000
 1.600 0.030 0.600    11.1584     0.1214     5.0000     9.0000    14.0000    92.0000     0.0000
 1.600 0.030 0.550    10.8020     0.1169     5.0000     9.0000    14.0000    92.0000     0.0000
 1.600 0.030 0.500    11.0248     0.1203     5.0000     9.0000    14.0000   104.0000     0.0000
 1.600 0.030 0.450    11.1000     0.1185     5.0000     9.0000    15.0000    89.0000     0.0000
 1.600 0.030 0.400    10.9580     0.1156     5.0000     9.0000    14.0000   107.0000     0.0000
 1.600 0.030 0.350    11.1842     0.1214     5.0000     9.0000    15.0000    94.0000     0.0000
 1.600 0.030 0.300    11.1650     0.1203     5.0000     9.0000    15.0000   102.0000     0.0000
 1.600 0.030 0.250    11.3122     0.1250     5.0000     9.0000    15.0000    81.0000     0.0000
 1.600 0.030 0.200    11.4818     0.1301     5.0000     9.0000    15.0000   118.0000     0.0000
 1.600 0.030 0.150    11.8562     0.1353     5.0000     9.0000    16.0000   107.0000     0.0000
 1.600 0.030 0.100    12.2576     0.1439     5.0000     9.0000    16.0000   157.0000     0.0000
 1.600 0.030 0.050    13.0168     0.1479     6.0000    10.0000    17.0000   100.0000     0.0000
 1.600 0.020 1.000    14.2182     0.1623     6.0000    11.0000    18.0000   102.0000     0.0000
 1.600 0.020 0.950    14.6984     0.1697     7.0000    11.0000    19.0000   120.0000     0.0000
 1.600 0.020 0.900    14.6026     0.1657     6.0000    11.0000    19.0000   134.0000     0.0000
 1.600 0.020 0.850    14.4952     0.1677     6.0000    11.0000    19.0000   181.0000     0.0000
 1.600 0.020 0.800    14.6440     0.1657     6.0000    12.0000    19.0000   128.0000     0.0000
 1.600 0.020 0.750    14.5280     0.1673     6.0000    11.0000    19.0000   193.0000     0.0000
 1.600 0.020 0.700    14.4816     0.1677     7.0000    11.0000    19.0000   118.0000     0.0000
 1.600 0.020 0.650    14.2156     0.1673     6.0000    11.0000    18.0000   168.0000     0.0000
 1.600 0.020 0.600    14.5602     0.1657     6.0000    11.0000    19.0000   109.0000     0.0000
 1.600 0.020 0.550    14.6270     0.1697     6.0000    11.0000    19.0000   141.0000     0.0000
 1.600 0.020 0.500    14.4382     0.1666     6.0000    11.0000    19.0000   114.0000     0.0000
 1.600 0.020 0.450    14.4014     0.1655     6.0000    11.0000    19.0000   120.0000     0.0000
 1.600 0.020 0.400    14.4338     0.1715     6.0000    12.0000    19.0000   275.0000     0.0000
 1.600 0.020 0.350    14.7310     0.1663     6.0000    12.0000    20.0000    89.0000     0.0000
 1.600 0.020 0.300    15.2292     0.1846     6.0000    12.0000    20.0000   216.0000     0.0000
 1.600 0.020 0.250    15.4482     0.1825     7.0000    12.0000    20.0000   133.0000     0.0000
 1.600 0.020 0.200    15.2902     0.1781     6.0000    12.0000    20.0000   134.0000     0.0000
 1.600 0.020 0.150    15.7974     0.1962     7.0000    12.0000    21.0000   198.0000     0.0000
 1.600 0.020 0.100    16.5410     0.2046     7.0000    12.0000    22.0000   168.0000     0.0000
 1.600 0.020 0.050    17.6020     0.2281     7.0000    13.0000    23.0000   177.0000     0.0000
 1.600 0.010 1.000    23.9160     0.2994     9.0000    18.0000    32.0000   181.0000     0.0000
 1.600 0.010 0.950    23.2942     0.2861     9.0000    17.0000    31.0000   181.0000     0.0000
 1.600 0.010 0.900    23.8906     0.3017    10.0000    18.0000    32.0000   289.0000     0.0000
 1.600 0.010 0.850    24.3418     0.3191    10.0000    18.0000    32.0000   282.0000     0.0000
 1.600 0.010 0.800    23.7174     0.2881    10.0000    18.0000    32.0000   194.0000     0.0000
 1.600 0.010 0.750    24.3726     0.3161    10.0000    18.0000    32.0000   370.0000     0.0000
 1.600 0.010 0.700    24.1210     0.3071     9.0000    18.0000    32.0000   251.0000     0.0000
 1.600 0.010 0.650    23.9838     0.2942     9.0000    18.0000    32.0000   201.0000     0.0000
 1.600 0.010 0.600    24.5576     0.3119    10.0000    18.0000    33.0000   264.0000     0.0000
 1.600 0.010 0.550    23.9858     0.3024     9.0000    18.0000    32.0000   196.0000     0.0000
 1.600 0.010 0.500    24.6578     0.3146     9.0000    18.0000    33.0000   195.0000     0.0000
 1.600 0.010 0.450    25.0236     0.3274    10.0000    18.0000    33.0000   259.0000     0.0000
 1.600 0.010 0.400    25.3246     0.3319     9.0000    19.0000    33.0000   276.0000     0.0000
 1.600 0.010 0.350    25.8840     0.3475    10.0000    18.0000    34.0000   338.0000     0.0000
 1.600 0.010 0.300    25.9320     0.3362    10.0000    19.0000    34.0000   201.0000     0.0000
 1.600 0.010 0.250    26.2256     0.3407    10.0000    19.0000    35.0000   249.0000     0.0000
 1.600 0.010 0.200    26.4376     0.3433    10.0000    19.0000    35.0000   263.0000     0.0000
 1.600 0.010 0.150    27.4838     0.3583    10.0000    20.0000    37.0000   235.0000     0.0000
 1.600 0.010 0.100    28.4460     0.3959    10.0000    20.0000    37.0000   344.0000     0.0000
 1.600 0.010 0.050    29.8112     0.4252    10.0000    21.0000    40.0000   553.0000     0.0000
 1.200 0.050 1.000    11.6866     0.1209     6.0000     9.0000    15.0000    82.0000     0.0000
 1.200 0.050 0.950    11.8572     0.1263     6.0000    10.0000    16.0000   122.0000     0.0000
 1.200 0.050 0.900    11.7262     0.1226     6.0000    10.0000    15.0000    70.0000     0.0000
 1.200 0.050 0.850    11.6924     0.1226     6.0000    10.0000    15.0000   105.0000     0.0000
 1.200 0.050 0.800    11.8152     0.1212     6.0000    10.0000    16.0000    76.0000     0.0000
 1.200 0.050 0.750    11.7550     0.1232     6.0000    10.0000    15.0000    87.0000     0.0000
 1.200 0.050 0.700    11.8128     0.1251     6.0000    10.0000    15.0000    88.0000     0.0000
 1.200 0.050 0.650    11.7734     0.1264     6.0000    10.0000    15.0000    90.0000     0.0000
 1.200 0.050 0.600    11.4508     0.1222     5.0000     9.0000    15.0000    85.0000     0.0000
 1.200 0.050 0.550    11.8156     0.1233     6.0000    10.0000    16.0000   106.0000     0.0000
 1.200 0.050 0.500    11.8154     0.1251     6.0000    10.0000    15.0000   120.0000     0.0000
 1.200 0.050 0.450    11.8188     0.1306     6.0000    10.0000    15.0000   116.0000     0.0000
 1.200 0.050 0.400    12.0278     0.1289     6.0000    10.0000    16.0000    91.0000     0.0000
 1.200 0.050 0.350    11.9334     0.1285     6.0000    10.0000    15.0000   115.0000     0.0000
 1.200 0.050 0.300    11.9968     0.1282     6.0000    10.0000    16.0000    98.0000     0.0000
 1.200 0.050 0.250    11.9872     0.1247     6.0000    10.0000    16.0000   114.0000     0.0000
 1.200 0.050 0.200    12.1456     0.1256     6.0000    10.0000    16.0000    93.0000     0.0000
