Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 1.600 0.050 1.000     8.5532     0.1048     4.0000     7.0000    11.0000   149.0000     0.0000
 1.600 0.050 0.900     9.0242     0.1373     4.0000     7.0000    11.0000   345.0000     0.0000
 1.600 0.050 0.800     9.6420     0.1777     4.0000     7.0000    11.0000   266.0000     0.0000
 1.600 0.050 0.700    10.7810     0.2244     4.0000     7.0000    12.0000   304.0000     0.0000
 1.600 0.050 0.600    11.0550     0.2504     4.0000     7.0000    12.0000   327.0000     0.0000
 1.600 0.050 0.500    13.5752     0.3821     4.0000     8.0000    13.0000   600.0000     0.0000
 1.600 0.050 0.400    15.7622     0.4805     4.0000     8.0000    13.0000   530.0000     0.0000
 1.600 0.050 0.300    18.9588     0.6219     5.0000     8.0000    15.0000   944.0000     0.0000
 1.600 0.050 0.200    26.5222     0.8760     5.0000     9.0000    18.0000  1014.0000     0.0000
 1.600 0.050 0.100    41.3540     1.2071     6.0000    12.0000    35.0000  1664.0000     0.0000
 1.600 0.040 2.000     9.2060     0.0933     4.0000     8.0000    12.0000    68.0000     0.0000
 1.600 0.040 1.900     9.0560     0.0915     4.0000     8.0000    12.0000    67.0000     0.0000
 1.600 0.040 1.800     9.1310     0.0939     4.0000     7.0000    12.0000    64.0000     0.0000
 1.600 0.040 1.700     9.1586     0.0953     5.0000     8.0000    12.0000    87.0000     0.0000
 1.600 0.040 1.600     9.1810     0.0947     4.0000     8.0000    12.0000    85.0000     0.0000
 1.600 0.040 1.500     9.0728     0.0965     4.0000     8.0000    12.0000   112.0000     0.0000
 1.600 0.040 1.400     9.1572     0.0948     5.0000     8.0000    12.0000    82.0000     0.0000
 1.600 0.040 1.300     9.0758     0.0934     4.0000     8.0000    12.0000    63.0000     0.0000
 1.600 0.040 1.200     9.5934     0.1055     5.0000     8.0000    12.0000    97.0000     0.0000
 1.600 0.040 1.100     9.5090     0.1087     5.0000     8.0000    12.0000   121.0000     0.0000
 1.600 0.040 1.000     9.8038     0.1224     4.0000     8.0000    13.0000   162.0000     0.0000
 1.600 0.040 0.900    10.0658     0.1363     5.0000     8.0000    13.0000   206.0000     0.0000
 1.600 0.040 0.800    10.8762     0.1984     5.0000     8.0000    13.0000   365.0000     0.0000
 1.600 0.040 0.700    12.1410     0.2542     5.0000     8.0000    13.0000   426.0000     0.0000
 1.600 0.040 0.600    13.0238     0.3065     5.0000     8.0000    14.0000   338.0000     0.0000
 1.600 0.040 0.500    14.3794     0.4395     5.0000     8.0000    14.0000   893.0000     0.0000
 1.600 0.040 0.400    17.3914     0.5423     5.0000     9.0000    15.0000   980.0000     0.0000
 1.600 0.040 0.300    20.0370     0.5919     5.0000     9.0000    17.0000   714.0000     0.0000
 1.600 0.040 0.200    26.1530     0.7616     5.0000    10.0000    20.0000   697.0000     0.0000
 1.600 0.040 0.100    40.1732     1.1355     6.0000    13.0000    33.0000   968.0000     0.0000
 1.600 0.030 2.000    10.9078     0.1175     5.0000     9.0000    14.0000    86.0000     0.0000
 1.600 0.030 1.900    10.9546     0.1179     5.0000     9.0000    14.0000    89.0000     0.0000
 1.600 0.030 1.800    10.8206     0.1187     5.0000     9.0000    14.0000   107.0000     0.0000
 1.600 0.030 1.700    11.0606     0.1239     5.0000     9.0000    14.0000    84.0000     0.0000
 1.600 0.030 1.600    11.0466     0.1226     5.0000     9.0000    14.0000   143.0000     0.0000
 1.600 0.030 1.500    11.2228     0.1200     5.0000     9.0000    15.0000    98.0000     0.0000
 1.600 0.030 1.400    11.1142     0.1245     5.0000     9.0000    14.0000   108.0000     0.0000
 1.600 0.030 1.300    11.2892     0.1295     5.0000     9.0000    15.0000   114.0000     0.0000
 1.600 0.030 1.200    10.8018     0.1247     5.0000     9.0000    14.0000   114.0000     0.0000
 1.600 0.030 1.100    11.5704     0.1476     5.0000     9.0000    15.0000   162.0000     0.0000
 1.600 0.030 1.000    11.5308     0.1558     5.0000     9.0000    15.0000   226.0000     0.0000
 1.600 0.030 0.900    11.8870     0.1659     5.0000     9.0000    15.0000   200.0000     0.0000
 1.600 0.030 0.800    12.5056     0.1873     5.0000     9.0000    15.0000   232.0000     0.0000
 1.600 0.030 0.700    13.5434     0.3090     5.0000    10.0000    16.0000   600.0000     0.0000
 1.600 0.030 0.600    15.3112     0.3754     5.0000    10.0000    17.0000   638.0000     0.0000
